index,customerID,CustomerTitle,CustomerAge,Came_from_Paid_Acquisition?,# Months since first Purchase,InternetService,Has contacted CS,Has_MK_TV_Service?,PaymentMethod,LastPurchaseAmount,TotalPurchaseAmount,Churn
0,7590-VHVEG,Mr,63,Yes,1.0,,No,No,Credit card,29.85,29.85,No
1,5575-GNVDE,Mr,64,No,34.0,,No,No,PayPal,56.95,1889.5,No
2,3668-QPYBK,Mr,71,No,2.0,,No,No,Credit card,53.85,108.15,Yes
3,7795-CFOCW,Mrs,65,No,45.0,,Yes,No,Credit card,42.3,1840.75,No
4,9237-HQITU,Mr,44,No,2.0,,No,No,Bank transfer (automatic),70.7,151.65,Yes
5,9305-CDSKC,Mrs,48,No,8.0,,No,Yes,Credit card,99.65,820.5,Yes
6,1452-KIOVK,Mr,71,No,22.0,,No,Yes,Credit card,89.1,1949.4,No
7,6713-OKOMC,Mr,46,No,10.0,,No,No,Credit card,29.75,301.9,No
8,7892-POOKP,Mrs,42,Yes,28.0,,Yes,Yes,Credit card,104.8,3046.05,Yes
9,6388-TABGU,Mrs,57,No,62.0,,No,No,Credit card,56.15,3487.95,No
10,9763-GRSKD,Ms,69,Yes,13.0,,No,No,Credit card,49.95,587.45,No
11,7469-LKBCI,Mr,61,No,16.0,,No,No,Bank transfer (automatic),18.95,326.8,No
12,8091-TTVAX,Mr,71,Yes,58.0,,No,Yes,Credit card,100.35,5681.1,No
13,0280-XJGEX,Mr,48,No,49.0,,No,Yes,Credit card,103.7,5036.3,Yes
14,5129-JLPIS,Mr,53,No,25.0,,Yes,Yes,PayPal,105.5,2686.05,No
15,3655-SNQYZ,Ms,0,Yes,69.0,,Yes,Yes,,113.25,7895.15,No
16,8191-XWSZG,Mr,59,No,52.0,DSL,No,No,Bank transfer (automatic),20.65,1022.95,No
17,9959-WOFKT,Mr,49,No,71.0,,No,Yes,Credit card,106.7,7382.25,No
18,4190-MFLUW,Mr,46,Yes,10.0,,Yes,No,Bank transfer (automatic),55.2,528.35,Yes
19,4183-MYFRB,Mr,50,No,21.0,,No,No,Credit card,90.05,1862.9,No
20,8779-QRDMV,Mr,71,No,1.0,,No,No,Credit card,39.65,39.65,Yes
21,1680-VDCWW,Mr,62,Yes,12.0,DSL,No,No,Credit card,19.8,202.25,No
22,1066-JKSGK,Mrs,67,No,1.0,,No,No,PayPal,20.15,20.15,Yes
23,3638-WEABW,Mr,58,Yes,58.0,,Yes,No,Credit card,59.9,3505.1,No
24,6322-HRPFA,Mr,52,Yes,49.0,,Yes,No,Credit card,59.6,2970.3,No
25,6865-JZNKO,Mrs,46,No,30.0,,No,No,Credit card,55.3,1530.6,No
26,6467-CHFZW,Mrs,71,Yes,47.0,,No,Yes,Credit card,99.35,4749.15,Yes
27,8665-UTDHZ,Mrs,43,Yes,1.0,,No,No,Credit card,30.2,30.2,Yes
28,5248-YGIJN,Ms,68,Yes,72.0,,Yes,Yes,Credit card,90.25,6369.45,No
29,8773-HHUOZ,Ms,44,No,17.0,,No,Yes,Credit card,64.7,1093.1,Yes
30,3841-NFECX,Mr,53,Yes,71.0,,Yes,No,Credit card,96.35,6766.95,No
31,4929-XIHVW,Mr,69,Yes,2.0,,No,Yes,Credit card,95.5,181.65,No
32,6827-IEAUQ,Mr,71,Yes,27.0,,Yes,No,Credit card,66.15,1874.45,No
33,7310-EGVHZ,Mr,59,No,1.0,,No,No,Bank transfer (automatic),20.2,20.2,No
34,3413-BMNZE,Mr,59,No,1.0,,No,No,PayPal,45.25,45.25,No
35,6234-RAAPL,Mr,43,Yes,72.0,,Yes,Yes,Bank transfer (automatic),99.9,7251.7,No
36,6047-YHPVI,Mrs,48,No,5.0,,No,No,Credit card,69.7,316.9,Yes
37,6572-ADKRS,Mr,59,No,46.0,,No,No,PayPal,74.8,3548.3,No
38,5380-WJKOV,Mr,52,No,34.0,,No,Yes,Credit card,106.35,3549.25,Yes
39,8168-UQWWF,Mr,55,No,11.0,,No,Yes,PayPal,97.85,1105.4,Yes
40,8865-TNMNX,Mr,59,Yes,10.0,,No,No,Credit card,49.55,475.7,No
41,9489-DEDVP,Mr,45,Yes,70.0,,No,Yes,Credit card,69.2,4872.35,No
42,9867-JCZSP,Mr,64,Yes,17.0,,No,No,Credit card,20.75,418.25,No
43,4671-VJLCL,Mr,70,No,63.0,,Yes,Yes,Credit card,79.85,4861.45,No
44,4080-IIARD,Mr,52,Yes,13.0,,Yes,Yes,Credit card,76.2,981.45,No
45,3714-NTNFO,Mrs,56,No,49.0,DSL,No,No,Credit card,84.5,3906.7,No
46,5948-UJZLF,,62,No,2.0,,No,No,Credit card,49.25,97,No
47,7760-OYPDY,Ms,43,No,2.0,,No,Yes,Credit card,80.65,144.15,Yes
48,7639-LIAYI,Mr,60,No,52.0,,Yes,Yes,PayPal,79.75,4217.8,No
49,2954-PIBKO,Mr,62,Yes,69.0,,Yes,No,Credit card,64.15,4254.1,No
50,8012-SOUDQ,Mr,45,No,43.0,,No,Yes,Credit card,90.25,3838.75,No
51,9420-LOJKX,Mr,54,No,15.0,,No,Yes,Credit card,99.1,1426.4,Yes
52,6575-SUVOI,Mr,56,Yes,25.0,,Yes,Yes,Credit card,69.5,1752.65,No
53,7495-OOKFY,Mrs,42,Yes,8.0,,No,No,Credit card,80.65,633.3,Yes
54,4667-QONEA,Mr,67,Yes,60.0,,Yes,No,Credit card,74.85,4456.35,No
