squareMeters,numberOfRooms,hasYard,cityCode,numPrevOwners,made,isNewBuilt,price
276,6,0,75020,8,2005,0,3 435 648
107,9,1,75010,6,2015,1,1 545 187
236,5,0,75018,8,2021,0,2 365 192
335,8,0,75005,4,2012,0,3 344 305
83,4,1,75017,7,1990,1,913 498
104,6,0,75013,6,2012,0,1 540 864
275,4,1,75005,9,1995,1,2 713 150
296,4,1,75002,4,2003,1,4 039 512
128,9,0,75015,3,2012,1,1 509 760
309,4,0,75006,8,2021,1,2 903 364
151,9,0,75002,8,1993,1,1 556 357
79,3,1,75017,2,2011,1,892 226
38,1,1,75008,9,2008,0,553 166
299,8,1,75004,4,2004,1,2 862 327
257,6,0,75019,5,2018,0,2 480 821
313,10,1,75017,9,2009,1,3 216 388
132,7,0,75017,9,2011,1,1 169 520
25,1,1,75009,8,2013,1,347 675
252,9,1,75001,1,2016,0,3 699 612
42,1,1,75018,5,2017,1,551 712
279,5,1,75017,4,2009,1,2 453 247
347,5,0,75001,7,2000,0,4 317 027
251,5,1,75009,2,2019,1,2 371 699
41,2,0,75010,4,2020,0,613 606
281,9,0,75019,6,1993,0,4 119 460
46,1,0,75004,9,2018,0,640 274
152,7,0,75007,9,1994,0,1 952 136
242,10,1,75005,6,2003,1,2 215 268
26,1,0,75020,5,1993,1,224 744
46,1,1,75016,4,2016,1,643 816
33,2,1,75014,4,1993,0,370 689
173,10,1,75009,1,2021,1,2 115 098
322,6,0,75001,5,2009,1,4 410 112
337,6,1,75004,5,2014,1,4 660 710
68,5,1,75012,9,2008,1,800 292
305,10,0,75005,7,1993,0,2 796 850
286,7,1,75016,7,1998,0,4 200 196
277,8,0,75017,6,1990,0,4 027 303
208,4,0,75008,1,2013,1,2 637 024
313,4,0,75013,10,2000,0,3 646 763
273,8,1,75013,2,2001,0,2 674 035
303,10,1,75014,9,2016,1,4 220 184
203,4,0,75017,7,2000,1,2 593 528
147,8,0,75019,5,1996,1,1 558 200
269,8,1,75018,8,2016,1,2 924 568
122,7,1,75016,2,2021,0,1 037 976
215,9,1,75011,10,1991,1,1 998 210
310,5,0,75013,10,2008,1,3 099 070
245,4,1,75008,3,1998,1,2 082 255
42,2,0,75009,9,2021,0,604 128
133,9,0,75006,5,2020,1,1 789 515
47,2,1,75019,2,1998,1,572 507
39,2,1,75006,6,1992,0,581 529
177,6,1,75020,7,2021,0,2 379 057
201,7,0,75006,3,1999,1,2 312 907
226,6,1,75011,1,1997,0,3 302 764
200,10,0,75011,6,1994,1,2 369 800
263,9,0,75005,10,2016,1,3 828 491
309,8,0,75019,1,1990,1,3 109 158
118,10,0,75008,1,1999,1,1 703 566
103,8,1,75004,8,1993,1,1 072 127
173,5,0,75005,1,2013,0,1 864 940
304,8,1,75003,9,2010,0,3 088 032
333,7,0,75002,9,2005,0,3 584 412
318,5,1,75018,1,1990,1,3 375 570
295,9,0,75002,1,2017,0,3 260 340
267,6,1,75020,7,2016,1,2 828 331
284,8,1,75011,10,2005,1,3 513 932
31,1,1,75014,9,1993,0,434 837
313,7,1,75014,9,2007,0,3 348 474
264,7,0,75014,10,2016,0,2 752 728
296,5,0,75003,1,1995,1,4 287 560
123,7,0,75003,1,2018,0,1 662 345
311,10,0,75016,8,2021,1,3 981 733
141,8,1,75009,4,1998,0,1 555 371
290,8,1,75013,6,2019,1,4 045 500
199,9,1,75018,5,1992,1,2 198 950
226,8,0,75003,3,1990,1,2 830 198
40,2,0,75012,8,2013,1,461 880
67,5,1,75016,5,2001,0,737 938
189,6,0,75006,5,1993,0,1 772 253
74,5,1,75019,1,1999,1,1 029 266
235,4,1,75016,10,2020,1,3 362 145
334,9,0,75018,3,2017,1,4 648 278
304,7,0,75007,4,2021,0,2 826 896
148,10,0,75011,2,2009,1,1 514 928
188,9,0,75014,5,2019,0,1 766 072
182,10,1,75012,8,2020,1,1 737 190
97,6,0,75011,7,1999,1,1 036 251
158,8,1,75005,7,2011,1,1 866 612
