squareMeters,numberOfRooms,hasYard,cityCode,numPrevOwners,made,isNewBuilt,price
276,9,0,75020,8,2005,0,"3 435 648,00 €"
107,7,1,75010,6,2015,1,"1 545 187,00 €"
236,6,0,75018,8,2021,0,"2 365 192,00 €"
335,6,0,75005,4,2012,0,"3 344 305,00 €"
83,5,1,75017,7,1990,1,"913 498,00 €"
104,4,0,75013,6,2012,0,"1 540 864,00 €"
275,6,1,75005,9,1995,1,"2 713 150,00 €"
296,8,1,75002,4,2003,1,"4 039 512,00 €"
128,7,0,75015,3,2012,1,"1 509 760,00 €"
309,7,0,75006,8,2021,1,"2 903 364,00 €"
151,7,0,75002,8,1993,1,"1 556 357,00 €"
79,3,1,75017,2,2011,1,"892 226,00 €"
38,2,1,75008,9,2008,0,"553 166,00 €"
299,10,1,75004,4,2004,1,"2 862 327,00 €"
257,4,0,75019,5,2018,0,"2 480 821,00 €"
313,10,1,75017,9,2009,1,"3 216 388,00 €"
132,4,0,75017,9,2011,1,"1 169 520,00 €"
25,2,1,75009,8,2013,1,"347 675,00 €"
252,9,1,75001,1,2016,0,"3 699 612,00 €"
42,1,1,75018,5,2017,1,"551 712,00 €"
279,5,1,75017,4,2009,1,"2 453 247,00 €"
347,8,0,75001,7,2000,0,"4 317 027,00 €"
251,10,1,75009,2,2019,1,"2 371 699,00 €"
41,2,0,75010,4,2020,0,"613 606,00 €"
281,6,0,75019,6,1993,0,"4 119 460,00 €"
46,1,0,75004,9,2018,0,"640 274,00 €"
152,10,0,75007,9,1994,0,"1 952 136,00 €"
242,4,1,75005,6,2003,1,"2 215 268,00 €"
26,1,0,75020,5,1993,1,"224 744,00 €"
46,1,1,75016,4,2016,1,"643 816,00 €"
33,2,1,75014,4,1993,0,"370 689,00 €"
173,8,1,75009,1,2021,1,"2 115 098,00 €"
322,10,0,75001,5,2009,1,"4 410 112,00 €"
337,9,1,75004,5,2014,1,"4 660 710,00 €"
68,5,1,75012,9,2008,1,"800 292,00 €"
305,6,0,75005,7,1993,0,"2 796 850,00 €"
286,10,1,75016,7,1998,0,"4 200 196,00 €"
277,5,0,75017,6,1990,0,"4 027 303,00 €"
208,5,0,75008,1,2013,1,"2 637 024,00 €"
313,7,0,75013,10,2000,0,"3 646 763,00 €"
273,7,1,75013,2,2001,0,"2 674 035,00 €"
303,4,1,75014,9,2016,1,"4 220 184,00 €"
203,10,0,75017,7,2000,1,"2 593 528,00 €"
147,8,0,75019,5,1996,1,"1 558 200,00 €"
269,8,1,75018,8,2016,1,"2 924 568,00 €"
122,8,1,75016,2,2021,0,"1 037 976,00 €"
215,5,1,75011,10,1991,1,"1 998 210,00 €"
310,5,0,75013,10,2008,1,"3 099 070,00 €"
245,6,1,75008,3,1998,1,"2 082 255,00 €"
42,1,0,75009,9,2021,0,"604 128,00 €"
133,4,0,75006,5,2020,1,"1 789 515,00 €"
47,1,1,75019,2,1998,1,"572 507,00 €"
39,1,1,75006,6,1992,0,"581 529,00 €"
177,5,1,75020,7,2021,0,"2 379 057,00 €"
201,5,0,75006,3,1999,1,"2 312 907,00 €"
226,4,1,75011,1,1997,0,"3 302 764,00 €"
200,7,0,75011,6,1994,1,"2 369 800,00 €"
263,9,0,75005,10,2016,1,"3 828 491,00 €"
309,8,0,75019,1,1990,1,"3 109 158,00 €"
118,9,0,75008,1,1999,1,"1 703 566,00 €"
103,8,1,75004,8,1993,1,"1 072 127,00 €"
173,8,0,75005,1,2013,0,"1 864 940,00 €"
304,4,1,75003,9,2010,0,"3 088 032,00 €"
333,4,0,75002,9,2005,0,"3 584 412,00 €"
318,7,1,75018,1,1990,1,"3 375 570,00 €"
295,4,0,75002,1,2017,0,"3 260 340,00 €"
267,8,1,75020,7,2016,1,"2 828 331,00 €"
284,5,1,75011,10,2005,1,"3 513 932,00 €"
31,1,1,75014,9,1993,0,"434 837,00 €"
313,8,1,75014,9,2007,0,"3 348 474,00 €"
264,5,0,75014,10,2016,0,"2 752 728,00 €"
296,4,0,75003,1,1995,1,"4 287 560,00 €"
123,8,0,75003,1,2018,0,"1 662 345,00 €"
311,8,0,75016,8,2021,1,"3 981 733,00 €"
141,7,1,75009,4,1998,0,"1 555 371,00 €"
290,9,1,75013,6,2019,1,"4 045 500,00 €"
199,4,1,75018,5,1992,1,"2 198 950,00 €"
226,7,0,75003,3,1990,1,"2 830 198,00 €"
40,1,0,75012,8,2013,1,"461 880,00 €"
67,3,1,75016,5,2001,0,"737 938,00 €"
189,8,0,75006,5,1993,0,"1 772 253,00 €"
74,5,1,75019,1,1999,1,"1 029 266,00 €"
235,10,1,75016,10,2020,1,"3 362 145,00 €"
334,9,0,75018,3,2017,1,"4 648 278,00 €"
304,8,0,75007,4,2021,0,"2 826 896,00 €"
148,4,0,75011,2,2009,1,"1 514 928,00 €"
188,7,0,75014,5,2019,0,"1 766 072,00 €"
182,10,1,75012,8,2020,1,"1 737 190,00 €"
97,4,0,75011,7,1999,1,"1 036 251,00 €"
158,9,1,75005,7,2011,1,"1 866 612,00 €"
107,6,1,75004,7,1994,1,"1 578 250,00 €"
40,1,1,75007,1,1997,0,"506 200,00 €"
246,9,0,75005,1,1994,1,"3 474 012,00 €"
60,5,0,75018,2,2012,1,"559 920,00 €"
204,5,0,75011,4,2015,1,"3 032 868,00 €"
